Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Nothing,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
05/30/2018,27.4,13,20.9,,27,0,0,0,22.4,171.46,28.8,23.5,37.2,63.58,Partially cloudy
05/31/2018,29.2,15.2,22.1,,28.4,0.9,0,0,19,147.54,23.5,20.1,51.1,63.44,Rain, Partially cloudy
06/01/2018,30,13.8,22.2,,28.8,8.4,0,0,16.3,119.79,32.9,21.6,27.7,59.67,Rain, Partially cloudy
06/02/2018,25.4,15.1,19.9,,,5.38,0,0,27.7,229.08,36,17.4,59.8,80,Rain, Partially cloudy
06/03/2018,23.9,16.9,19.4,,,10.59,0,0,17.7,244.38,17.5,14.7,64.9,82.88,Rain, Partially cloudy
06/04/2018,25.9,14.8,20.3,,,0.2,0,0,15.3,222.29,20.7,11.5,39.3,75.82,Rain, Partially cloudy
06/05/2018,25.2,13.2,20.3,,,6.1,0,0,20.5,266.58,42.5,14.9,34.4,72.75,Rain, Partially cloudy
06/06/2018,20.8,13,16.7,,,0.1,0,0,28.6,46.25,38.5,26.2,39.6,54.55,Rain, Partially cloudy
06/07/2018,24.8,8.1,17.3,5.9,,0,0,0,24.1,42.67,35.8,28.2,7.9,48.23,Clear
06/08/2018,28.1,12,21.1,,27.6,1,0,0,13.5,102.54,36,24.1,28,58.2,Rain, Partially cloudy
06/09/2018,29.5,17.6,22.9,,29.2,8.5,0,0,21.7,138.92,39.6,20.9,63.8,67.42,Rain, Partially cloudy
06/10/2018,29.2,16.9,22.6,,28.2,0.91,0,0,22.1,114.25,47.8,17.2,72.6,66.73,Rain, Partially cloudy
06/11/2018,26.2,16.9,21.8,,,10.62,0,0,25.1,254.25,50.4,17.6,49.3,73.94,Rain, Partially cloudy
06/12/2018,21.6,15.8,18.6,,,4.3,0,0,22.7,167.21,38.3,14.4,64.3,84.23,Rain, Partially cloudy
06/13/2018,19,12.1,16.3,,,0.7,0,0,20.8,112.96,32.4,17.2,77.6,83.38,Rain, Overcast
06/14/2018,19.9,15.9,17.5,,,11.11,0,0,17.8,296.79,17.2,22.1,81.1,73.2,Rain, Overcast
06/15/2018,23.5,14.1,19.2,,,0,0,0,15.4,249.54,28.4,26.3,62.2,63.68,Partially cloudy
06/16/2018,25.6,14.8,20.9,,,0.1,0,0,16.3,172.63,28.8,26.6,44.4,59.62,Rain, Partially cloudy
06/17/2018,25.2,15.1,20.9,,,0,0,0,20.1,55.13,28.8,26,49.7,61.61,Partially cloudy
06/18/2018,24,17.2,20.1,,,0.5,0,0,15.3,207.33,14,23.8,73.9,73,Rain, Partially cloudy
06/19/2018,26.5,16.3,22,,,0.7,0,0,14.9,267.88,28.8,24.4,45.1,58.43,Rain, Partially cloudy
06/20/2018,27.8,15,22,,27.5,0,0,0,9.8,257.46,14,21.6,43,60.4,Partially cloudy
06/21/2018,31.9,14.2,23.9,,31.3,0.7,0,0,47.2,202.25,76,20.1,44.5,62.17,Rain, Partially cloudy
06/22/2018,16.8,11,13.7,,,17.48,0,0,19.4,256.46,76.1,24.8,71,68.54,Rain, Partially cloudy
06/23/2018,14.2,9.2,11.6,7.7,,10.56,0,0,24.5,251.46,32.4,22.4,79.7,79.65,Rain, Overcast
06/24/2018,17.3,11,13.1,,,15.09,0,0,27.7,243.58,28.1,21,83.1,83.88,Rain, Overcast
06/25/2018,19,11.8,15,,,5.94,0,0,17.8,261.38,36,22.2,62.6,75.18,Rain, Partially cloudy
06/26/2018,18.1,11.9,14.5,,,5.8,0,0,26.8,240.71,43.2,21.8,70.7,78.72,Rain, Partially cloudy
